,Unnamed: 0,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,hours,RestaurantsReservations,RestaurantsPriceRange2,BusinessAcceptsCreditCards,OutdoorSeating,BikeParking,RestaurantsTakeOut,HasTV,RestaurantsGoodForGroups,DogsAllowed,RestaurantsTableService,GoodForDancing,CoatCheck,GoodForKids,Caters,WheelchairAccessible,HappyHour,RestaurantsDelivery,BYOB,BusinessAcceptsBitcoin,DriveThru,ByAppointmentOnly,Corkage,Open24Hours,DietaryRestrictions,RestaurantsCounterService,BusinessParking_garage,BusinessParking_street,BusinessParking_validated,BusinessParking_lot,BusinessParking_valet,Ambience_touristy,Ambience_hipster,Ambience_romantic,Ambience_divey,Ambience_intimate,Ambience_trendy,Ambience_upscale,Ambience_classy,Ambience_casual,BestNights_monday,BestNights_tuesday,BestNights_friday,BestNights_wednesday,BestNights_thursday,BestNights_sunday,BestNights_saturday,GoodForMeal_dessert,GoodForMeal_latenight,GoodForMeal_lunch,GoodForMeal_dinner,GoodForMeal_brunch,GoodForMeal_breakfast,Music_dj,Music_background_music,Music_no_music,Music_jukebox,Music_live,Music_video,Music_karaoke,AgesAllowed_u'21plus',AgesAllowed_u'allages',Alcohol_'beer_and_wine',Alcohol_'full_bar',Alcohol_'none',Alcohol_u'beer_and_wine',Alcohol_u'full_bar',Alcohol_u'none',BYOBCorkage_'no',BYOBCorkage_'yes_corkage',BYOBCorkage_'yes_free',NoiseLevel_'average',NoiseLevel_'loud',NoiseLevel_'quiet',NoiseLevel_u'average',NoiseLevel_u'loud',NoiseLevel_u'quiet',NoiseLevel_u'very_loud',RestaurantsAttire_'casual',RestaurantsAttire_u'casual',RestaurantsAttire_u'dressy',Smoking_None,Smoking_u'no',Smoking_u'outdoor',WiFi_'free',WiFi_'no',WiFi_u'free',WiFi_u'no',WiFi_u'paid',Type,hours_per_week
10,10,0iLgVQpBeIYYwQZIblTTVw,Cafe 154,"4151 Foothill Rd Building A Main Fl, Bldg A",Santa Barbara,CA,93110,34.4510957997,-119.7600908624,4.0,10,1,"Cafes, Restaurants, Cafeteria","{'Monday': '6:30-18:0', 'Tuesday': '6:30-18:0', 'Wednesday': '6:30-18:0', 'Thursday': '6:30-18:0', 'Friday': '6:30-17:0'}",False,0.5,True,True,0.5,True,True,False,0.5,0.5,0.5,0.5,False,0.5,0.5,0.5,True,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Bakery,0.04074188338203
11,11,0it-2gWk_gyuZyEMQzBBuQ,Corktree Cellars Wine Bar & Bistro,910 Linden Ave,Carpinteria,CA,93013,34.3981761,-119.5188071,4.0,230,1,"Bars, Wine Bars, American (New), Nightlife, Restaurants","{'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-21:0', 'Saturday': '11:30-21:0', 'Sunday': '11:30-21:0'}",True,2.0,True,True,True,True,True,True,True,True,0.5,False,False,False,True,True,True,False,False,0.5,False,True,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,American,0.93706331778669
12,12,0mUVD5sDXZjd66XwATN8XA,Phresh Teas,"5599 Hollister Ave, Unit B & C",Goleta,CA,93117,34.4356398736,-119.8203958974,4.0,103,1,"Bubble Tea, Restaurants, Taiwanese, Coffee & Tea, Food","{'Monday': '0:0-0:0', 'Tuesday': '11:30-20:30', 'Wednesday': '11:30-20:30', 'Thursday': '11:30-20:30', 'Friday': '11:30-20:30', 'Saturday': '11:30-20:30', 'Sunday': '11:30-20:30'}",0.5,1.0,True,True,True,True,0.5,0.5,True,True,0.5,0.5,True,True,True,0.5,True,0.5,0.5,0.5,False,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Coffee,0.419641398834909
13,13,0qu0fNTOsSmuREYVIMPuIQ,Cold Spring Tavern,5995 Stagecoach Rd,Santa Barbara,CA,93105,34.5216257926,-119.8405629067,4.5,1018,1,"American (Traditional), Restaurants, Bars, Nightlife","{'Monday': '11:30-17:0', 'Thursday': '11:30-15:30', 'Friday': '11:30-20:0', 'Saturday': '11:30-20:0', 'Sunday': '11:30-17:0'}",True,2.0,True,True,True,True,False,True,False,True,False,False,True,False,True,False,False,False,False,0.5,0.5,True,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,American,4.14752372829066
14,14,12Gc4OFQ-WAW0fAk2hRZuQ,Kin Bakeshop,3404 State St,Santa Barbara,CA,93105,34.4406266,-119.7367796,5.0,25,1,"Pop-Up Restaurants, Restaurants, Food, Donuts","{'Monday': '0:0-0:0', 'Saturday': '10:0-11:0'}",0.5,0.5,0.5,False,0.5,True,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bakery,0.101854708455075
15,15,1Du1NruqJwxnzgEUHc42Jw,SB Sunshine Cafe,3514 State St,Santa Barbara,CA,93105,34.4406561,-119.7387809,4.5,208,1,"Restaurants, American (New), Breakfast & Brunch, Diners","{'Monday': '0:0-0:0', 'Tuesday': '7:0-14:30', 'Wednesday': '7:0-14:30', 'Thursday': '7:0-14:30', 'Friday': '7:0-14:30', 'Saturday': '7:0-14:30', 'Sunday': '7:0-14:30'}",False,2.0,True,True,0.5,True,False,True,False,True,0.5,0.5,True,True,True,0.5,True,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Breakfast,0.847431174346224
16,16,1FURjeGJi_LBXcJQg8eskw,Padaro Beach Grill,3765 Santa Claus Ln,Carpinteria,CA,93013,34.4068326,-119.5485827,4.5,885,1,"American (Traditional), Restaurants, Seafood, Burgers, Tacos, Sandwiches, Mexican, Bars, Food, Beer Bar, Juice Bars & Smoothies, Nightlife","{'Monday': '0:0-0:0', 'Tuesday': '11:0-19:30', 'Wednesday': '11:0-19:30', 'Thursday': '11:0-19:30', 'Friday': '11:0-20:0', 'Saturday': '11:0-20:0', 'Sunday': '11:0-19:30'}",True,2.0,True,True,True,True,False,True,False,False,False,False,True,True,True,False,True,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,American,3.60565667930966
17,17,1J0NIfmrSuV72KzhmYFxMA,Pane E Vino,1482 E Valley Rd,Montecito,CA,93108,34.438305,-119.633186,4.0,77,1,"Restaurants, Italian","{'Monday': '17:0-21:0', 'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-21:0', 'Saturday': '17:0-21:0', 'Sunday': '17:0-21:0'}",True,2.0,True,True,True,True,True,True,0.5,0.5,0.5,0.5,False,0.5,0.5,0.5,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Italian,0.313712502041631
18,18,1U8Kt44FIkC7RnJsNjaMTA,Teru Japanese Cuisine,1305 State St,Santa Barbara,CA,93101,34.4244063718,-119.706060133,4.5,34,1,"Japanese, Restaurants, Beer, Wine & Spirits, Food, Sushi Bars","{'Monday': '0:0-0:0', 'Tuesday': '17:0-21:30', 'Wednesday': '17:0-21:30', 'Thursday': '17:0-21:30', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0'}",True,0.5,True,False,0.5,True,0.5,0.5,0.5,True,0.5,0.5,0.5,0.5,0.5,0.5,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Japanese,0.138522403498902
19,19,1kVnChI4aqsPw9i2PVqkkw,Fresco Cafe,"3987 State St, Ste B",Santa Barbara,CA,93105,34.4394181202,-119.7514181468,4.0,278,1,"American (Traditional), Bakeries, Restaurants, Italian, Breakfast & Brunch, Food","{'Monday': '11:0-20:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-20:0', 'Saturday': '11:0-20:0'}",False,2.0,True,True,True,True,True,True,True,0.5,0.5,0.5,True,True,0.5,0.5,True,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,American,1.13262435802043
20,20,1l4-uhraQzNiRjppKyMUUQ,Jeannine's American Bakery Restaurant,"7060 Hollister Ave, Ste 105",Goleta,CA,93117,34.431189,-119.8740625,4.5,117,1,"Bakeries, Restaurants, Food, American (Traditional), Breakfast & Brunch, Coffee & Tea","{'Monday': '0:0-0:0', 'Wednesday': '7:30-13:30', 'Thursday': '7:30-13:30', 'Friday': '7:30-13:30', 'Saturday': '7:30-14:0', 'Sunday': '7:30-14:0'}",0.5,2.0,True,True,0.5,True,0.5,0.5,True,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Bakery,0.476680035569751
21,21,1lwulkAD5htni3rbHW8oeg,Subway,"1940 Cliff Dr, Ste B-13",Santa Barbara,CA,93109,34.402151,-119.7225483,3.0,11,1,"Restaurants, Sandwiches, Salad, Fast Food","{'Monday': '9:0-22:30', 'Tuesday': '9:0-22:30', 'Wednesday': '9:0-22:30', 'Thursday': '9:0-22:30', 'Friday': '9:0-22:30', 'Saturday': '9:0-22:30', 'Sunday': '11:0-22:0'}",False,1.0,True,True,True,True,False,True,0.5,False,0.5,0.5,True,True,True,0.5,True,0.5,False,0.5,False,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Fast Food,0.044816071720233
22,22,23OxrUaCvvVrwSa1z3xG-w,Recipes Bakery & Gifts: An Australian Coffee House,604 Santa Barbara St,Santa Barbara,CA,93101,34.4202441,-119.6946664,4.5,128,1,"Breakfast & Brunch, Restaurants, Bakeries, Food, Australian","{'Tuesday': '7:30-13:0', 'Wednesday': '7:30-13:0', 'Thursday': '7:30-13:0', 'Friday': '7:30-13:0', 'Saturday': '7:30-13:0'}",0.5,2.0,True,True,True,True,True,0.5,0.5,0.5,0.5,0.5,0.5,True,0.5,0.5,True,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bakery,0.521496107289984
23,23,27zlxlmlQu9KBr5Vj4MGeg,Pickles & Swiss,"7060 Hollister Ave, Ste 102",Goleta,CA,93117,34.4311345106,-119.8742893905,4.5,790,1,"Delis, Sandwiches, American (New), Restaurants","{'Monday': '11:0-18:0', 'Tuesday': '11:0-18:0', 'Wednesday': '11:0-18:0', 'Thursday': '11:0-18:0', 'Friday': '11:0-18:0', 'Saturday': '11:0-18:0', 'Sunday': '11:0-18:0'}",False,2.0,True,True,True,True,False,True,0.5,False,0.5,0.5,True,True,True,0.5,True,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Deli,3.21860878718037
