,Unnamed: 0.1,index,Unnamed: 0,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,categories,hours,Type
17,18,29,4141,bbEXAEFr4RYHLlZ-HFssTA,The Original Habit Burger Grill,5735 Hollister Ave,Goleta,CA,93117,34.4355701,-119.8247056,4,329,"Fast Food, Burgers, Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '10:30-21:0', 'Wednesday': '10:30-21:0', 'Thursday': '10:30-21:0', 'Friday': '10:30-21:0', 'Saturday': '10:30-21:0', 'Sunday': '11:0-20:0'}",Burgers
18,19,31,4407,1FURjeGJi_LBXcJQg8eskw,Padaro Beach Grill,3765 Santa Claus Ln,Carpinteria,CA,93013,34.4068326,-119.5485827,4.5,885,"American (Traditional), Restaurants, Seafood, Burgers, Tacos, Sandwiches, Mexican, Bars, Food, Beer Bar, Juice Bars & Smoothies, Nightlife","{'Monday': '0:0-0:0', 'Tuesday': '11:0-19:30', 'Wednesday': '11:0-19:30', 'Thursday': '11:0-19:30', 'Friday': '11:0-20:0', 'Saturday': '11:0-20:0', 'Sunday': '11:0-19:30'}",American
19,20,34,4724,sxuv5uZU15UHGT_HB1xYxQ,Islands Restaurant,3825 State St,Santa Barbara,CA,93105,34.438119,-119.748456,3.5,197,"Bars, Burgers, Restaurants, Nightlife, Sports Bars, American (New)","{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '10:0-21:0'}",Burgers
20,21,35,4744,GEGTsaKaO1R9fFB4sGS5qw,Santa Barbara Food Connection,5599 Hollister Ave,Goleta,CA,93117,34.4354208,-119.8203772,4.5,10,"Mexican, Restaurants, Food Trucks, Food","{'Tuesday': '11:30-18:0', 'Wednesday': '11:30-18:0', 'Thursday': '11:30-14:0', 'Friday': '11:0-14:0'}",Mexican
21,22,37,4941,Wy8Hswf2cLQGRZN6armkag,Jack in the Box,6875 Hollister Ave,Goleta,CA,93117,34.4298966,-119.8687832,1.5,86,"Restaurants, Fast Food, Mexican, Tacos, Burgers, Breakfast & Brunch","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Fast Food
22,23,38,5247,vC2qm1y3Au5czBtbhc-DNw,Sushi Teri,970 Linden Ave,Carpinteria,CA,93013,34.3985268,-119.5184755,3,167,"Restaurants, Sushi Bars","{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0', 'Sunday': '17:0-22:0'}",Japanese
24,25,42,5866,DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,955 Embarcadero Del Mar,Goleta,CA,93117,34.41195,-119.857433,3.5,163,"Sushi Bars, Caterers, Food, Fast Food, Event Planning & Services, Japanese, Food Delivery Services, Korean, Restaurants, Specialty Food, Asian Fusion","{'Monday': '12:0-21:0', 'Tuesday': '12:0-21:0', 'Thursday': '12:0-21:0', 'Friday': '12:0-21:0', 'Saturday': '12:0-21:0', 'Sunday': '12:0-21:0'}",Japanese
25,26,43,6161,6kPHr6gZaU9732ptn9gJrA,La Guerrerita Mexican Food,"5698 Hollister Ave, Ste A",Goleta,CA,93117,34.4359054,-119.8230676,4,128,"Mexican, Restaurants, Breakfast & Brunch","{'Monday': '7:0-23:0', 'Tuesday': '7:0-23:0', 'Wednesday': '7:0-23:0', 'Thursday': '7:0-23:0', 'Friday': '7:0-23:0', 'Saturday': '7:0-23:0', 'Sunday': '7:0-23:0'}",Mexican
26,27,44,6300,iHdrLu8deF5GceB0V1rPhA,Oliver's,1198 Coast Village Rd,Santa Barbara,CA,93108,34.4213337,-119.6449814,4.5,313,"American (Traditional), Vegan, Restaurants","{'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-21:30', 'Saturday': '17:0-21:30', 'Sunday': '17:0-21:0'}",Healthy
27,28,46,6762,PPcz-0UtIJ8O7xDT551y2g,Intermezzo By Wine Cask,819 Anacapa St,Santa Barbara,CA,93101,34.4211464,-119.6988864,4.5,141,"Tapas Bars, Nightlife, Salad, Restaurants, Cocktail Bars, Bars, Wine Bars, Cafes, Pizza, American (New)","{'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0'}",Fine Dinning
28,29,49,7004,zbrIMldF_O1ZQ0vpUaaa8A,Bluewater Grill - Santa Barbara,15 East Cabrillo Blvd,Santa Barbara,CA,93101,34.412758,-119.688965,4,768,"Seafood, Venues & Event Spaces, Cocktail Bars, Restaurants, Nightlife, Breakfast & Brunch, American (Traditional), Event Planning & Services, Bars, American (New)","{'Monday': '0:0-0:0', 'Tuesday': '16:0-21:0', 'Wednesday': '12:0-21:0', 'Thursday': '12:0-21:0', 'Friday': '12:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",Seafood
29,30,54,7563,ycbmvmBYk4w_ZmdrPL0tBQ,The Cruisery,501 State St,Santa Barbara,CA,93101,34.4167478,-119.6957697,4,362,"Breweries, Nightlife, Food, Cocktail Bars, Bars, Restaurants, Brewpubs, Gastropubs","{'Monday': '11:30-0:0', 'Tuesday': '11:30-0:0', 'Wednesday': '11:30-0:0', 'Thursday': '11:30-0:0', 'Friday': '11:30-0:0', 'Saturday': '10:0-1:0', 'Sunday': '10:0-1:0'}",American
30,31,55,7652,fAiPD2OIEm9wtS7uJqzu5Q,Natural Cafe,6990 Market Pl Dr,Goleta,CA,93117,34.4294615,-119.8712408,4,130,"Food, Vegetarian, Salad, Restaurants, Cafes, American (Traditional), Burgers, Juice Bars & Smoothies","{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-15:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",Healthy
31,32,57,7757,CYwC5OjwCN6ib_AQDxi3Ow,In-N-Out Burger,4865 Calle Real,Goleta,CA,93111,34.442941,-119.790779,4,228,"Restaurants, Fast Food, Burgers","{'Monday': '0:0-0:0', 'Tuesday': '10:30-1:0', 'Wednesday': '10:30-1:0', 'Thursday': '10:30-23:0', 'Friday': '0:0-23:0', 'Saturday': '10:30-1:30', 'Sunday': '10:30-1:0'}",Fast Food
32,33,58,7852,XwnkfMUiyH-OsJXbmbOK5g,Sushi Tyme,819 State St,Santa Barbara,CA,93101,34.41972661,-119.7002778,3.5,155,"Restaurants, Asian Fusion, Seafood, Sushi Bars, Japanese","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",Japanese
33,34,59,7913,0qu0fNTOsSmuREYVIMPuIQ,Cold Spring Tavern,5995 Stagecoach Rd,Santa Barbara,CA,93105,34.52162579,-119.8405629,4.5,1018,"American (Traditional), Restaurants, Bars, Nightlife","{'Monday': '11:30-17:0', 'Thursday': '11:30-15:30', 'Friday': '11:30-20:0', 'Saturday': '11:30-20:0', 'Sunday': '11:30-17:0'}",American
34,35,60,7942,uO39--k_hrCFgZh-Bl8m8A,Taqueria Cuernavaca,201 W Carrillo St,Santa Barbara,CA,93101,34.418932,-119.704239,4.5,409,"Mexican, Tacos, Restaurants","{'Monday': '10:0-20:30', 'Wednesday': '10:0-20:30', 'Thursday': '10:0-20:30', 'Friday': '10:0-20:30', 'Saturday': '10:0-20:30', 'Sunday': '10:0-20:30'}",Mexican
35,36,62,8187,fnGZspqyamRremXor0sAyg,Frog Bar & Grill,405 Glen Annie Rd,Santa Barbara,CA,93117,34.44293792,-119.8800369,4,16,"Restaurants, American (Traditional), Nightlife, Bars, Cocktail Bars","{'Monday': '11:30-14:0', 'Tuesday': '11:30-14:0', 'Wednesday': '11:30-14:0', 'Thursday': '11:30-14:0', 'Friday': '11:30-14:0'}",Seafood
36,37,63,8420,vyyr3G874jpRYSQo2KPZow,Cristino's Bakery,170 Aero Camino,Goleta,CA,93117,34.432215,-119.8481,5,117,"Mexican, Restaurants, Bakeries, Food, Sandwiches, Coffee & Tea","{'Monday': '0:0-0:0', 'Tuesday': '6:0-20:0', 'Wednesday': '6:0-20:0', 'Thursday': '6:0-20:0', 'Friday': '6:0-20:0', 'Saturday': '6:30-14:0', 'Sunday': '6:30-14:0'}",Bakery
37,38,64,8434,cVW9b_1bqsvTU1jhGNWUsw,Yoshinoya,552 University Road,Santa Barbara,CA,93106,34.415142,-119.840629,3,9,"Japanese, Restaurants, Asian Fusion, Fast Food","{'Monday': '10:0-16:30', 'Tuesday': '10:0-16:30', 'Wednesday': '10:0-16:30', 'Thursday': '10:0-16:30', 'Friday': '10:0-16:30'}",Japanese
38,39,65,8679,wFES5bGDiPANW13hNHnXOQ,Sakana Sushi Bar & Japanese,"1046 Coast Village Rd, Ste K",Santa Barbara,CA,93108,34.422264,-119.650288,4,374,"Sushi Bars, Japanese, Restaurants","{'Tuesday': '17:0-21:30', 'Wednesday': '17:0-21:30', 'Thursday': '17:0-21:30', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0'}",Japanese
39,40,66,8861,MbzgGsMQpGyVrUJXi_Jw0Q,Dawn Patrol,324 State St,Santa Barbara,CA,93101,34.4157298,-119.6936606,4,807,"Coffee & Tea, Breakfast & Brunch, Restaurants, American (New), Food","{'Monday': '0:0-0:0', 'Wednesday': '8:0-14:0', 'Thursday': '8:0-14:0', 'Friday': '8:0-14:0', 'Saturday': '8:0-14:0', 'Sunday': '8:0-14:0'}",Healthy
40,41,68,8886,aY_n9RSaD2Yw09jSFFePew,PizzaMan Dan's,699 Linden Ave,Carpinteria,CA,93013,34.3969589,-119.5210632,4,124,"Chicken Wings, Restaurants, Beer, Wine & Spirits, Sandwiches, Food, Pizza, Italian","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-23:0'}",Pizza
41,42,70,9042,ygZyTUWS4dbVL8d6vAiN4A,Taqueria Rincon Alteno,115 E Haley St,Santa Barbara,CA,93101,34.418462,-119.693982,4,68,"Mexican, Restaurants","{'Monday': '7:0-21:0', 'Tuesday': '7:0-21:0', 'Wednesday': '7:0-21:0', 'Thursday': '7:0-21:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}",Mexican
42,43,71,9162,34Eqv8jXgxg_EEwcsNgeeg,Backyard Bowls,331 Motor Way,Santa Barbara,CA,93101,34.4151137,-119.6944966,4,659,"Health Markets, Coffee & Tea, Ice Cream & Frozen Yogurt, Restaurants, Juice Bars & Smoothies, Breakfast & Brunch, Food, American (New), Specialty Food","{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0', 'Saturday': '8:0-17:0', 'Sunday': '8:0-17:0'}",Healthy
43,44,72,9202,kZtl_NJjUnlIQgzFrBhXyQ,Ichiban,1812 Cliff Dr,Santa Barbara,CA,93109,34.4017849,-119.720842,3.5,227,"Restaurants, Japanese, Sushi Bars","{'Monday': '17:0-21:0', 'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-21:30', 'Saturday': '17:0-21:30', 'Sunday': '17:0-21:0'}",Japanese
44,45,74,9396,Ifw5wqcChnL4zBigtR7NKA,El Sitio,102 S Fairview Ave,Goleta,CA,93117,34.4372887,-119.8304029,3.5,80,"Restaurants, Mexican","{'Monday': '8:0-20:30', 'Tuesday': '8:0-20:30', 'Wednesday': '8:0-20:30', 'Thursday': '8:0-20:30', 'Friday': '8:0-20:30', 'Saturday': '8:0-20:30', 'Sunday': '8:0-15:30'}",Mexican
45,46,75,9404,qNXAR7i6Tb3m0J0UBurj6g,The Food Liaison,1033 Casitas Pass Rd,Carpinteria,CA,93013,34.39592476,-119.5137759,4.5,84,"Cooking Schools, Shopping, Cooking Classes, Restaurants, Caterers, Education, Cafes, Event Planning & Services, Specialty Schools, Arts & Crafts","{'Monday': '0:0-0:0', 'Tuesday': '11:0-15:0', 'Wednesday': '11:0-15:0', 'Thursday': '11:0-15:0', 'Friday': '11:0-15:0'}",Healthy
46,47,76,9418,-3AooxIkg38UyUdlz5oXdw,Chase Restaurant,1012 State St,Santa Barbara,CA,93101,34.421931,-119.7021852,3,436,"Event Planning & Services, Restaurants, Nightlife, Caterers, Italian, Bars","{'Monday': '11:30-21:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-22:0', 'Saturday': '11:30-22:0', 'Sunday': '11:30-21:0'}",Italian
47,48,78,10114,T2otvNcawDSkhykOG2tOLA,IHOP,4765 Calle Real,Santa Barbara,CA,93110,34.44335,-119.78812,2.5,113,"American (Traditional), Breakfast & Brunch, Restaurants, American (New), Burgers","{'Monday': '0:0-0:0', 'Tuesday': '6:0-21:0', 'Wednesday': '6:0-21:0', 'Thursday': '7:0-14:0', 'Friday': '8:0-20:0', 'Saturday': '6:0-22:0', 'Sunday': '6:0-21:0'}",Breakfast
48,49,79,10396,RIXWht1pZG8pe1SJk5hhXw,Poke Theory SB,"6530 Seville Rd, Ste 102",Goleta,CA,93117,34.412042,-119.854844,4.5,54,"Coffee & Tea, Noodles, Restaurants, Seafood, Japanese, Ramen, Food, Asian Fusion, Poke","{'Monday': '0:0-0:0', 'Tuesday': '12:0-20:0', 'Wednesday': '12:0-20:0', 'Thursday': '12:0-20:0', 'Friday': '12:0-20:0', 'Saturday': '13:0-20:0', 'Sunday': '13:0-20:0'}",Japanese
49,50,80,11056,Ak_vHsHsYRP928VHVRL_tQ,Panda Express,131 N. Fairview Ave.,Goleta,CA,93117,34.441624,-119.832865,2.5,76,"Restaurants, Chinese, Fast Food","{'Monday': '10:0-21:30', 'Tuesday': '10:0-21:30', 'Wednesday': '10:0-21:30', 'Thursday': '10:0-21:30', 'Friday': '10:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:30-21:30'}",Fast Food
51,52,86,11506,7IdIGemGZodDAA_9mJCigA,Farmer Boy,3427 State St,Santa Barbara,CA,93105,34.4400429,-119.7373433,4,255,"Breakfast & Brunch, Burgers, American (Traditional), American (New), Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '7:0-14:0', 'Wednesday': '7:0-14:0', 'Thursday': '7:0-14:0', 'Friday': '7:0-14:0', 'Saturday': '7:0-14:0', 'Sunday': '7:0-14:0'}",Fast Food
52,53,87,11666,syuKX2pH3JJhOOppzNI6SA,Yoichi's,230 E Victoria St,Santa Barbara,CA,93101,34.4271662,-119.7024792,4.5,184,"Restaurants, Nightlife, Japanese, Bars","{'Thursday': '17:0-21:0', 'Friday': '17:0-21:0', 'Saturday': '17:0-21:0', 'Sunday': '17:0-21:0'}",Japanese
53,54,89,12105,S3QHy1sshUeZwXOYviVsXQ,Tre Lune,1151 Coast Village Rd,Montecito,CA,93108,34.4209378,-119.646244,4,262,"Food, Italian, Restaurants","{'Monday': '11:30-21:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-21:0'}",Italian
54,55,91,12485,i2yCrMQx5soH0jMFG32vxQ,KFC,5697 Calle Real,Goleta,CA,93117,34.4407835,-119.8234121,3,32,"Restaurants, Chicken Wings, Chicken Shop, Fast Food","{'Monday': '10:0-21:30', 'Tuesday': '10:0-21:30', 'Wednesday': '10:0-21:30', 'Thursday': '10:0-21:30', 'Friday': '10:0-21:30', 'Saturday': '10:0-21:30', 'Sunday': '10:0-21:30'}",Fast Food
55,56,92,13289,I0jFTYVDs-WHwKR2XHQlRA,Zen Yai Thai Cuisine,425 State St,Santa Barbara,CA,93101,34.4162591,-119.6952494,4,347,"Thai, Restaurants, American (New), Pop-Up Restaurants, Asian Fusion","{'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-21:45', 'Saturday': '17:0-21:45', 'Sunday': '17:0-21:0'}",Thai
56,57,95,14329,eGI_WepIIjYahIrMVRknfw,Sizzling Lunch,6533 Trigo Rd,Goleta,CA,93117,34.4108424,-119.8552361,4.5,79,"Japanese, Restaurants, Steakhouses, Asian Fusion","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",Japanese
58,60,99,15513,6VVbLYay8czrjKJ4xRoTxQ,Judge For Yourself Cafe,1218 Santa Barbara St,Santa Barbara,CA,93101,34.4259896,-119.7026565,4.5,110,"Restaurants, Breakfast & Brunch","{'Monday': '6:30-14:0', 'Tuesday': '6:30-14:0', 'Wednesday': '6:30-14:0', 'Thursday': '6:30-14:0', 'Friday': '6:30-14:0', 'Saturday': '6:30-14:0', 'Sunday': '6:30-14:0'}",Breakfast
60,62,102,15975,NnAfFmqKH3PBeigmuAeFNA,Santa Barbara Chicken Ranch,149 N Fairview Ave,Goleta,CA,93117,34.441799,-119.832712,3.5,127,"Restaurants, Barbeque, Mexican","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",Mexican
61,63,103,16088,29t8lDBLiwkEd1HA356dOw,Bagel Cafe,6551 Trigo Rd,Goleta,CA,93117,34.4109706,-119.8571334,4,386,"Restaurants, Cafes, Bagels, Food","{'Monday': '6:30-14:0', 'Tuesday': '6:30-14:0', 'Wednesday': '6:30-14:0', 'Thursday': '6:30-14:0', 'Friday': '6:30-14:0', 'Saturday': '6:30-14:0', 'Sunday': '6:30-14:0'}",Deli
62,64,104,16201,jZncFsMQdrq268OHq_Q6uw,Super Cuca's Taqueria,"2030 Cliff Dr, Ste 1A",Santa Barbara,CA,93109,34.402527,-119.724409,4,108,"Restaurants, Mexican","{'Monday': '6:0-22:0', 'Tuesday': '6:0-22:0', 'Wednesday': '6:0-22:0', 'Thursday': '6:0-22:0', 'Friday': '6:0-22:0', 'Saturday': '6:0-22:0', 'Sunday': '6:0-22:0'}",Mexican
64,66,106,16835,NIQWO-Q_F598XlAvZnFVCA,Eureka!,601 Paseo Nuevo,Santa Barbara,CA,93101,34.4186116,-119.7001508,4,961,"Restaurants, American (Traditional), Lounges, Nightlife, Bars, Burgers, American (New)","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-23:0'}",Burgers
65,67,107,16902,BEzvmorW8ILha6tcSxBBwA,Valentino's Take N Bake Pizza,4421 Hollister Ave,Santa Barbara,CA,93110,34.439746,-119.770649,4.5,69,"Salad, Sandwiches, Restaurants, Pizza","{'Monday': '0:0-0:0', 'Tuesday': '11:0-19:0', 'Wednesday': '11:0-19:0', 'Thursday': '11:0-19:0', 'Friday': '11:0-19:0', 'Saturday': '11:0-19:0'}",Pizza
66,68,108,17403,eukRpR47MDH4XXfU_Dul9Q,Madam Lu,3524 State St,Santa Barbara,CA,93105,34.440642,-119.7392725,3.5,136,"Restaurants, Chinese","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",Chinese
