,business_id,hours,day_of_the_week,,
111,MiMRlsXOpHJMSTDAuw8s1w, 17:0-21:0 ,  Friday ,,
112,MiMRlsXOpHJMSTDAuw8s1w, 17:0-21:0  ,  Saturday ,,
113,V4lqQdll3_TAEtkrHDYbAA, 11:0-21:0 ,  Monday ,,
114,V4lqQdll3_TAEtkrHDYbAA, 11:0-21:0 ,  Tuesday ,,
115,V4lqQdll3_TAEtkrHDYbAA, 11:0-21:0 ,  Wednesday ,,
116,V4lqQdll3_TAEtkrHDYbAA, 11:0-21:0 ,  Thursday ,,
117,V4lqQdll3_TAEtkrHDYbAA, 11:0-21:0 ,  Friday ,,
118,V4lqQdll3_TAEtkrHDYbAA, 11:0-21:0 ,  Saturday ,,
119,V4lqQdll3_TAEtkrHDYbAA, 12:0-20:0  ,  Sunday ,,
120,lTVHJAvtFQbQb6cPstEXyA, 11:30-22:0 ,  Monday ,,
121,lTVHJAvtFQbQb6cPstEXyA, 11:30-22:0 ,  Tuesday ,,
122,lTVHJAvtFQbQb6cPstEXyA, 11:30-22:0 ,  Wednesday ,,
123,lTVHJAvtFQbQb6cPstEXyA, 11:30-22:0 ,  Thursday ,,
124,lTVHJAvtFQbQb6cPstEXyA, 11:30-22:0 ,  Friday ,,
125,lTVHJAvtFQbQb6cPstEXyA, 11:30-22:0 ,  Saturday ,,
126,lTVHJAvtFQbQb6cPstEXyA, 11:30-22:0  ,  Sunday ,,
127,Ey0t4U6yqtxCeMaGPf7GcA, 17:0-21:0 ,  Monday ,,
128,Ey0t4U6yqtxCeMaGPf7GcA, 17:0-21:0 ,  Tuesday ,,
129,Ey0t4U6yqtxCeMaGPf7GcA, 17:0-21:0 ,  Wednesday ,,
130,Ey0t4U6yqtxCeMaGPf7GcA, 17:0-21:0 ,  Thursday ,,
131,Ey0t4U6yqtxCeMaGPf7GcA, 17:0-21:0 ,  Friday ,,
132,Ey0t4U6yqtxCeMaGPf7GcA, 17:0-21:0  ,  Saturday ,,
133,ju4YP8SLdR_BmWr_-Xh83Q, 0:0-0:0 ,  Monday ,,
134,ju4YP8SLdR_BmWr_-Xh83Q, 10:0-20:0 ,  Wednesday ,,
135,ju4YP8SLdR_BmWr_-Xh83Q, 10:0-20:0 ,  Thursday ,,
136,ju4YP8SLdR_BmWr_-Xh83Q, 10:0-20:0 ,  Friday ,,
137,ju4YP8SLdR_BmWr_-Xh83Q, 10:0-20:0 ,  Saturday ,,
138,ju4YP8SLdR_BmWr_-Xh83Q, 10:0-20:0  ,  Sunday ,,
139,qdpdUjdkEUpzYDdce2yZng, 10:0-17:30 ,  Monday ,,
140,qdpdUjdkEUpzYDdce2yZng, 10:0-17:30 ,  Tuesday ,,
141,qdpdUjdkEUpzYDdce2yZng, 10:0-17:30 ,  Wednesday ,,
142,qdpdUjdkEUpzYDdce2yZng, 10:0-17:30 ,  Thursday ,,
143,qdpdUjdkEUpzYDdce2yZng, 10:0-17:30 ,  Friday ,,
144,qdpdUjdkEUpzYDdce2yZng, 10:0-16:30 ,  Saturday ,,
145,qdpdUjdkEUpzYDdce2yZng, 11:0-16:30  ,  Sunday ,,
146,bjhCtlYHrkgA5Ku8l-rB3g, 0:0-0:0 ,  Monday ,,
147,bjhCtlYHrkgA5Ku8l-rB3g, 6:30-15:30 ,  Tuesday ,,
148,bjhCtlYHrkgA5Ku8l-rB3g, 6:30-15:30 ,  Wednesday ,,
149,bjhCtlYHrkgA5Ku8l-rB3g, 6:30-15:30 ,  Thursday ,,
150,bjhCtlYHrkgA5Ku8l-rB3g, 6:30-15:30 ,  Friday ,,
151,bjhCtlYHrkgA5Ku8l-rB3g, 6:30-15:30 ,  Saturday ,,
152,bjhCtlYHrkgA5Ku8l-rB3g, 6:30-16:0  ,  Sunday ,,
153,cbkrO0zra1OiNGvtjw2igQ, 17:0-22:0 ,  Monday ,,
154,cbkrO0zra1OiNGvtjw2igQ, 17:0-22:0 ,  Tuesday ,,
155,cbkrO0zra1OiNGvtjw2igQ, 17:0-22:0 ,  Wednesday ,,
156,cbkrO0zra1OiNGvtjw2igQ, 17:0-22:0 ,  Thursday ,,
157,cbkrO0zra1OiNGvtjw2igQ, 17:0-22:0 ,  Friday ,,
158,cbkrO0zra1OiNGvtjw2igQ, 17:0-22:0 ,  Saturday ,,
159,cbkrO0zra1OiNGvtjw2igQ, 17:0-22:0  ,  Sunday ,,
160,_v3DcLatG70adfYzWTd-CQ, 9:0-18:30 ,  Monday ,,
161,_v3DcLatG70adfYzWTd-CQ, 9:0-18:30 ,  Tuesday ,,
162,_v3DcLatG70adfYzWTd-CQ, 9:0-18:30 ,  Wednesday ,,
163,_v3DcLatG70adfYzWTd-CQ, 9:0-18:30 ,  Thursday ,,
164,_v3DcLatG70adfYzWTd-CQ, 9:0-18:30 ,  Friday ,,
165,_v3DcLatG70adfYzWTd-CQ, 9:0-18:30  ,  Saturday ,,
166,SHk_eYKzIOPvgwvTThtXiQ, 11:0-15:0 ,  Monday ,,
167,SHk_eYKzIOPvgwvTThtXiQ, 11:0-15:0 ,  Tuesday ,,
168,SHk_eYKzIOPvgwvTThtXiQ, 11:0-15:0 ,  Wednesday ,,
169,SHk_eYKzIOPvgwvTThtXiQ, 11:0-15:0 ,  Thursday ,,
170,SHk_eYKzIOPvgwvTThtXiQ, 11:0-15:0  ,  Friday ,,
171,sjNVeNqhDjEFHoOybnt2ug, 17:0-21:0 ,  Monday ,,
172,sjNVeNqhDjEFHoOybnt2ug, 17:0-21:0 ,  Tuesday ,,
173,sjNVeNqhDjEFHoOybnt2ug, 17:0-21:0 ,  Wednesday ,,
174,sjNVeNqhDjEFHoOybnt2ug, 17:0-21:0 ,  Thursday ,,
175,sjNVeNqhDjEFHoOybnt2ug, 17:0-21:30 ,  Friday ,,
176,sjNVeNqhDjEFHoOybnt2ug, 17:0-21:30 ,  Saturday ,,
177,sjNVeNqhDjEFHoOybnt2ug, 17:0-21:30  ,  Sunday ,,
178,jW4a3W9-UkFxpglHvo_Kqg, 16:0-21:0 ,  Monday ,,
179,jW4a3W9-UkFxpglHvo_Kqg, 16:0-21:0 ,  Tuesday ,,
180,jW4a3W9-UkFxpglHvo_Kqg, 16:0-21:0 ,  Wednesday ,,
181,jW4a3W9-UkFxpglHvo_Kqg, 16:0-21:0 ,  Thursday ,,
182,jW4a3W9-UkFxpglHvo_Kqg, 16:0-21:0 ,  Friday ,,
183,jW4a3W9-UkFxpglHvo_Kqg, 16:0-21:0 ,  Saturday ,,
184,jW4a3W9-UkFxpglHvo_Kqg, 16:0-21:0  ,  Sunday ,,
185,bbEXAEFr4RYHLlZ-HFssTA, 0:0-0:0 ,  Monday ,,
186,bbEXAEFr4RYHLlZ-HFssTA, 10:30-21:0 ,  Tuesday ,,
187,bbEXAEFr4RYHLlZ-HFssTA, 10:30-21:0 ,  Wednesday ,,
188,bbEXAEFr4RYHLlZ-HFssTA, 10:30-21:0 ,  Thursday ,,
189,bbEXAEFr4RYHLlZ-HFssTA, 10:30-21:0 ,  Friday ,,
190,bbEXAEFr4RYHLlZ-HFssTA, 10:30-21:0 ,  Saturday ,,
191,bbEXAEFr4RYHLlZ-HFssTA, 11:0-20:0  ,  Sunday ,,
192,q6661I3CGW0UB740E5Zjfw, 11:30-21:0 ,  Monday ,,
193,q6661I3CGW0UB740E5Zjfw, 11:30-21:0 ,  Tuesday ,,
194,q6661I3CGW0UB740E5Zjfw, 11:30-21:0 ,  Wednesday ,,
195,q6661I3CGW0UB740E5Zjfw, 11:30-21:0 ,  Thursday ,,
196,q6661I3CGW0UB740E5Zjfw, 11:30-21:0 ,  Friday ,,
197,q6661I3CGW0UB740E5Zjfw, 11:30-21:0 ,  Saturday ,,
198,q6661I3CGW0UB740E5Zjfw, 11:30-21:0  ,  Sunday ,,
199,1FURjeGJi_LBXcJQg8eskw, 0:0-0:0 ,  Monday ,,
200,1FURjeGJi_LBXcJQg8eskw, 11:0-19:30 ,  Tuesday ,,
201,1FURjeGJi_LBXcJQg8eskw, 11:0-19:30 ,  Wednesday ,,
202,1FURjeGJi_LBXcJQg8eskw, 11:0-19:30 ,  Thursday ,,
203,1FURjeGJi_LBXcJQg8eskw, 11:0-20:0 ,  Friday ,,
204,1FURjeGJi_LBXcJQg8eskw, 11:0-20:0 ,  Saturday ,,
205,1FURjeGJi_LBXcJQg8eskw, 11:0-19:30  ,  Sunday ,,
206,uI15YInpDsGBUZcNfm_TfQ, 0:0-0:0 ,  Monday ,,
207,uI15YInpDsGBUZcNfm_TfQ, 17:30-20:30 ,  Wednesday ,,
208,uI15YInpDsGBUZcNfm_TfQ, 17:30-20:30 ,  Thursday ,,
209,uI15YInpDsGBUZcNfm_TfQ, 17:30-21:0 ,  Friday ,,
210,uI15YInpDsGBUZcNfm_TfQ, 11:30-21:0 ,  Saturday ,,
211,uI15YInpDsGBUZcNfm_TfQ, 11:30-20:0  ,  Sunday ,,
212,YB689VFiOlzUTBRPiauDFA, 7:0-14:0 ,  Monday ,,
213,YB689VFiOlzUTBRPiauDFA, 7:0-14:0 ,  Tuesday ,,
214,YB689VFiOlzUTBRPiauDFA, 7:0-14:0 ,  Wednesday ,,
215,YB689VFiOlzUTBRPiauDFA, 7:0-14:0 ,  Thursday ,,
216,YB689VFiOlzUTBRPiauDFA, 7:0-14:0 ,  Friday ,,
217,YB689VFiOlzUTBRPiauDFA, 7:0-14:0 ,  Saturday ,,
218,YB689VFiOlzUTBRPiauDFA, 7:0-14:0  ,  Sunday ,,
219,sxuv5uZU15UHGT_HB1xYxQ, 0:0-0:0 ,  Monday ,,
220,sxuv5uZU15UHGT_HB1xYxQ, 11:0-21:0 ,  Tuesday ,,
221,sxuv5uZU15UHGT_HB1xYxQ, 11:0-21:0 ,  Wednesday ,,
222,sxuv5uZU15UHGT_HB1xYxQ, 11:0-21:0 ,  Thursday ,,
223,sxuv5uZU15UHGT_HB1xYxQ, 11:0-21:0 ,  Friday ,,
224,sxuv5uZU15UHGT_HB1xYxQ, 11:0-21:0 ,  Saturday ,,
225,sxuv5uZU15UHGT_HB1xYxQ, 10:0-21:0  ,  Sunday ,,
226,GEGTsaKaO1R9fFB4sGS5qw, 11:30-18:0 ,  Tuesday ,,
227,GEGTsaKaO1R9fFB4sGS5qw, 11:30-18:0 ,  Wednesday ,,
228,GEGTsaKaO1R9fFB4sGS5qw, 11:30-14:0 ,  Thursday ,,
229,GEGTsaKaO1R9fFB4sGS5qw, 11:0-14:0  ,  Friday ,,
230,HQ-C47_Xi5it1KzwEc0u0A, 17:0-2:30 ,  Monday ,,
231,HQ-C47_Xi5it1KzwEc0u0A, 17:0-2:30 ,  Tuesday ,,
232,HQ-C47_Xi5it1KzwEc0u0A, 17:0-2:30 ,  Wednesday ,,
233,HQ-C47_Xi5it1KzwEc0u0A, 17:0-2:30 ,  Thursday ,,
234,HQ-C47_Xi5it1KzwEc0u0A, 17:0-2:30 ,  Friday ,,
235,HQ-C47_Xi5it1KzwEc0u0A, 11:0-2:30 ,  Saturday ,,
236,HQ-C47_Xi5it1KzwEc0u0A, 11:0-2:30  ,  Sunday ,,
237,Wy8Hswf2cLQGRZN6armkag, 0:0-0:0 ,  Monday ,,
238,Wy8Hswf2cLQGRZN6armkag, 0:0-0:0 ,  Tuesday ,,
239,Wy8Hswf2cLQGRZN6armkag, 0:0-0:0 ,  Wednesday ,,
240,Wy8Hswf2cLQGRZN6armkag, 0:0-0:0 ,  Thursday ,,
241,Wy8Hswf2cLQGRZN6armkag, 0:0-0:0 ,  Friday ,,
242,Wy8Hswf2cLQGRZN6armkag, 0:0-0:0 ,  Saturday ,,
243,Wy8Hswf2cLQGRZN6armkag, 0:0-0:0  ,  Sunday ,,
244,vC2qm1y3Au5czBtbhc-DNw, 17:0-22:0 ,  Monday ,,
245,vC2qm1y3Au5czBtbhc-DNw, 17:0-22:0 ,  Tuesday ,,
246,vC2qm1y3Au5czBtbhc-DNw, 17:0-22:0 ,  Wednesday ,,
247,vC2qm1y3Au5czBtbhc-DNw, 17:0-22:0 ,  Thursday ,,
248,vC2qm1y3Au5czBtbhc-DNw, 17:0-22:0 ,  Friday ,,
249,vC2qm1y3Au5czBtbhc-DNw, 17:0-22:0 ,  Saturday ,,
250,vC2qm1y3Au5czBtbhc-DNw, 17:0-22:0  ,  Sunday ,,
251,DD3TxygdxBxKh9gbjCuLDA, 0:0-0:0 ,  Monday ,,
252,DD3TxygdxBxKh9gbjCuLDA, 9:0-17:0 ,  Wednesday ,,
253,DD3TxygdxBxKh9gbjCuLDA, 9:0-17:0 ,  Thursday ,,
254,DD3TxygdxBxKh9gbjCuLDA, 9:0-17:0 ,  Friday ,,
255,DD3TxygdxBxKh9gbjCuLDA, 9:0-17:0 ,  Saturday ,,
256,DD3TxygdxBxKh9gbjCuLDA, 9:0-17:0  ,  Sunday ,,
257,EaTbY8HFwwF7i3SjVbHGYw, 11:0-21:0 ,  Monday ,,
258,EaTbY8HFwwF7i3SjVbHGYw, 11:0-21:0 ,  Tuesday ,,
259,EaTbY8HFwwF7i3SjVbHGYw, 11:0-21:0 ,  Wednesday ,,
260,EaTbY8HFwwF7i3SjVbHGYw, 11:0-21:0 ,  Thursday ,,
261,EaTbY8HFwwF7i3SjVbHGYw, 11:0-21:0 ,  Friday ,,
262,EaTbY8HFwwF7i3SjVbHGYw, 11:0-21:0 ,  Saturday ,,
263,EaTbY8HFwwF7i3SjVbHGYw, 11:0-21:0  ,  Sunday ,,
264,H-1qpp_77KggOAr9htUrEw, 11:0-20:0 ,  Monday ,,
265,H-1qpp_77KggOAr9htUrEw, 11:0-20:0 ,  Tuesday ,,
266,H-1qpp_77KggOAr9htUrEw, 11:0-20:0 ,  Wednesday ,,
267,H-1qpp_77KggOAr9htUrEw, 11:0-20:0 ,  Thursday ,,
268,H-1qpp_77KggOAr9htUrEw, 12:0-21:0 ,  Friday ,,
269,H-1qpp_77KggOAr9htUrEw, 11:0-21:0 ,  Saturday ,,
270,H-1qpp_77KggOAr9htUrEw, 11:0-20:0  ,  Sunday ,,
271,DzpaiMQnB_sNhZPrgdvKHg, 12:0-21:0 ,  Monday ,,
272,DzpaiMQnB_sNhZPrgdvKHg, 12:0-21:0 ,  Tuesday ,,
273,DzpaiMQnB_sNhZPrgdvKHg, 12:0-21:0 ,  Thursday ,,
274,DzpaiMQnB_sNhZPrgdvKHg, 12:0-21:0 ,  Friday ,,
275,DzpaiMQnB_sNhZPrgdvKHg, 12:0-21:0 ,  Saturday ,,
276,DzpaiMQnB_sNhZPrgdvKHg, 12:0-21:0  ,  Sunday ,,
277,6kPHr6gZaU9732ptn9gJrA, 7:0-23:0 ,  Monday ,,
278,6kPHr6gZaU9732ptn9gJrA, 7:0-23:0 ,  Tuesday ,,
279,6kPHr6gZaU9732ptn9gJrA, 7:0-23:0 ,  Wednesday ,,
280,6kPHr6gZaU9732ptn9gJrA, 7:0-23:0 ,  Thursday ,,
281,6kPHr6gZaU9732ptn9gJrA, 7:0-23:0 ,  Friday ,,
282,6kPHr6gZaU9732ptn9gJrA, 7:0-23:0 ,  Saturday ,,
283,6kPHr6gZaU9732ptn9gJrA, 7:0-23:0  ,  Sunday ,,
284,iHdrLu8deF5GceB0V1rPhA, 17:0-21:0 ,  Tuesday ,,
285,iHdrLu8deF5GceB0V1rPhA, 17:0-21:0 ,  Wednesday ,,
286,iHdrLu8deF5GceB0V1rPhA, 17:0-21:0 ,  Thursday ,,
287,iHdrLu8deF5GceB0V1rPhA, 17:0-21:30 ,  Friday ,,
288,iHdrLu8deF5GceB0V1rPhA, 17:0-21:30 ,  Saturday ,,
289,iHdrLu8deF5GceB0V1rPhA, 17:0-21:0  ,  Sunday ,,
290,Nv6ruFQa6AG6g8f-_IxFCw, 17:0-21:0 ,  Tuesday ,,
291,Nv6ruFQa6AG6g8f-_IxFCw, 17:30-21:0 ,  Wednesday ,,
292,Nv6ruFQa6AG6g8f-_IxFCw, 17:30-21:30 ,  Thursday ,,
293,Nv6ruFQa6AG6g8f-_IxFCw, 17:30-21:30 ,  Friday ,,
294,Nv6ruFQa6AG6g8f-_IxFCw, 17:30-21:30 ,  Saturday ,,
295,Nv6ruFQa6AG6g8f-_IxFCw, 17:30-21:0  ,  Sunday ,,
296,PPcz-0UtIJ8O7xDT551y2g, 17:0-21:0 ,  Tuesday ,,
297,PPcz-0UtIJ8O7xDT551y2g, 17:0-21:0 ,  Wednesday ,,
298,PPcz-0UtIJ8O7xDT551y2g, 17:0-21:0 ,  Thursday ,,
299,PPcz-0UtIJ8O7xDT551y2g, 17:0-22:0 ,  Friday ,,
300,PPcz-0UtIJ8O7xDT551y2g, 17:0-22:0  ,  Saturday ,,
301,2bl6G1zgXUHbMGwEocqMSg, 0:0-0:0 ,  Monday ,,
302,2bl6G1zgXUHbMGwEocqMSg, 18:0-0:0 ,  Tuesday ,,
303,2bl6G1zgXUHbMGwEocqMSg, 18:0-0:0 ,  Wednesday ,,
304,2bl6G1zgXUHbMGwEocqMSg, 18:0-0:0 ,  Thursday ,,
305,2bl6G1zgXUHbMGwEocqMSg, 18:0-0:0 ,  Friday ,,
306,2bl6G1zgXUHbMGwEocqMSg, 18:0-0:0  ,  Saturday ,,
307,9JR9Ht6IX1r2jPPG689JyA, 10:0-18:0 ,  Monday ,,
308,9JR9Ht6IX1r2jPPG689JyA, 10:0-18:0 ,  Tuesday ,,
309,9JR9Ht6IX1r2jPPG689JyA, 10:0-18:0 ,  Wednesday ,,
310,9JR9Ht6IX1r2jPPG689JyA, 10:0-18:0 ,  Thursday ,,
311,9JR9Ht6IX1r2jPPG689JyA, 10:0-18:0 ,  Friday ,,
312,9JR9Ht6IX1r2jPPG689JyA, 11:0-18:0 ,  Saturday ,,
313,9JR9Ht6IX1r2jPPG689JyA, 11:0-18:0  ,  Sunday ,,
314,zbrIMldF_O1ZQ0vpUaaa8A, 0:0-0:0 ,  Monday ,,
