,business_id,city,postal_code,stars,review_count,Type,hours_per_week
567,A2slwG21Uulatt357w58PA,Isla Vista,93117,4.0,98,Coffee,46.0
574,AFZTm786brtTbEc5yYBgfA,Carpinteria,93013,4.0,111,Mexican,78.0
581,AQw0B8j9QV1RkFLLFiwkuw,Carpinteria,93013,4.0,329,Breakfast,38.4
588,AXC__4yZrn-N3BT7-2bV_Q,Santa Barbara,93101,4.0,104,American,75.0
595,AgVekFXqwt4Y1HxfQcpyiw,Carpinteria,93013,4.0,144,Deli,34.199999999999996
602,Ak4vFqHZUWU5KXONRnuieQ,Santa Barbara,93103,4.0,166,Mexican,86.0
609,Ak_vHsHsYRP928VHVRL_tQ,Goleta,93117,2.5,76,Fast Food,80.2
616,AmAc0eD6lyVyb7QdOAO1Mg,Santa Barbara,93101,3.5,138,American,51.4
623,AzZqXglv_puXwd4kCvM7ew,Santa Barbara,93101,4.0,96,Mexican,91.0
630,BErYojCJSO959vzaz9JclQ,Santa Barbara,93101,4.5,571,Deli,52.199999999999996
637,BEzvmorW8ILha6tcSxBBwA,Santa Barbara,93110,4.5,69,Pizza,40.0
644,BHZZFNH4wu5VAq_JypqjiQ,Montecito,93108,3.5,67,Italian,40.0
651,BQv7ntaOxs80FJAji2U9pg,Santa Barbara,93105,3.5,337,American,70.0
658,BVzFvRrgMpL62oPIqGvLMg,Goleta,93111,4.5,347,Deli,40.0
665,BaWVwChTW_MqkKru_WZp3g,Santa Barbara,93101,4.0,276,Mexican,112.0
672,BttSAciQNIQhgJCv3-FYpw,Carpinteria,93013,4.0,84,Deli,63.0
679,C-aATB7SbuwMBPN5dgjghQ,Santa Barbara,93105,3.0,127,Pizza,64.0
686,C-zgOpqD2K0xDJU4ty7zKg,Santa Barbara,93108,4.5,57,Coffee,74.0
693,C6AiAF35zwpAoK5jjm-nhA,Santa Barbara,93108,3.5,37,Coffee,49.800000000000004
700,COSC9JC0Vjr89CaTZuPkUA,Santa Barbara,93101,4.0,477,Japanese,38.0
707,CTmAWi-W8_Id00EjHF5Uwg,Carpinteria,93013,3.5,131,Pizza,66.0
714,CYwC5OjwCN6ib_AQDxi3Ow,Goleta,93111,4.0,228,Fast Food,72.6
721,Ce6B2-CYAjGvRZe3GKyxYA,Santa Barbara,93101,3.0,124,Pizza,64.0
728,CkENBnSJFfPA1hY0qrqfCg,Santa Barbara,93101,3.5,731,Mexican,66.0
735,CoZ2mpsMBP8HUG1ymKoZTg,Santa Barbara,93101,4.0,954,Italian,30.0
742,CuRjZOmfnXjefwEpyzmTTw,Santa Barbara,93101,5.0,60,Pizza,68.7
749,CziOtnFSklimJnBgksDDwA,Santa Barbara,93101,3.5,1069,Italian,57.4
756,D5n8XvQqC_vzOCi63wNChQ,Truckee,96161,5.0,26,Deli,86.0
763,DBtNuEt5U_dXoalpU8rbcQ,Goleta,93117,4.0,198,American,28.100000000000005
770,DOfiulOub9hVPBCtiDl9Fw,Santa Barbara,93101,4.0,643,Pizza,62.0
777,DV0BJwh9qzPqcxufrA_7ag,Santa Barbara,93103,3.0,33,Deli,69.80000000000001
784,D_WS8rM-DVygaCKbIErZ6Q,Santa Barbara,93110,4.0,232,Mexican,79.0
791,DqVpNtgFCP47n6frh-LREA,Santa Barbara,93101,3.5,262,Mexican,34.7
798,DzpaiMQnB_sNhZPrgdvKHg,Goleta,93117,3.5,163,Japanese,54.0
805,E1R-xslwl7XeTN5lQ7mWPg,Santa Barbara,93101,4.5,272,American,24.6
812,E1b_hNr22N2wGkq5Z9fmHw,Santa Barbara,93108,3.5,21,Healthy,52.8
819,E3WUDYEvCVMplIFMgeN1xw,Santa Barbara,93101,4.0,519,Breakfast,42.0
826,E8tiSAB6O4TPeVdKR0K5Ug,Santa Barbara,93103,3.0,89,Pizza,64.0
833,EBuSqlpzzyfZZkEgPxVV1Q,Santa Barbara,93105,3.0,36,American,77.0
840,EEwmN2uP1PmOyxpTstSIxA,Santa Barbara,93101,4.5,40,Bakery,23.0
847,EPkF-beh6gg_s3HtlAdfiw,Goleta,93117,4.0,468,Japanese,21.500000000000004
854,EUzWWnvcx1pkkWxk2XV6QA,Isla Vista,93117,4.0,59,Fast Food,65.0
861,EXYbKA1tocvOK_1tXxZXLA,Santa Barbara,93109,3.5,178,Japanese,56.0
868,EZc2myE2mYk2h9JK9qu8gw,Santa Barbara,93101,4.5,1047,American,67.0
875,E_ac8Q20OJD9L8cafCBKaQ,Santa Barbara,93101,4.0,534,American,28.0
882,EoLzj1yciIjEZS9ZEJe_kQ,Santa Barbara,93101,3.0,85,American,54.0
889,EtM079Cj7-B3G7jPsGYb_Q,Santa Barbara,93101,3.5,1546,Mexican,65.1
896,EzhRlsTdACV60rOgrGYyqA,Santa Barbara,93101,3.0,98,Breakfast,71.0
903,F6KHs4GDw_9tpuv65M6PGA,Goleta,93117,3.5,187,Deli,28.0
910,FAc2Mv92KL00cbLdpAc0kQ,Carpinteria,93013,3.0,195,Pizza,71.0
917,FE5R_F7svUphKeUWuxA0JA,Santa Barbara,93111,4.0,206,Mexican,84.0
924,FEBwxZMEpxRwVXx9Fm0XZw,Santa Barbara,93101,4.0,1268,Breakfast,51.10000000000001
931,FH0MVF7kK0D76Hh4e7hXfQ,Santa Barbara,93105,4.0,575,Bakery,30.000000000000004
938,FTFaEinJgzqY0ZHQMUSpQQ,Santa Barbara,93101,3.5,696,American,52.0
945,FY_FkUeQxVqAjc9V0IAc2Q,Goleta,93117,4.5,96,Healthy,84.0
952,FdoqtMadj4ybDAL7S-yUBQ,Summerland,93067,4.0,663,American,51.0
959,Fg68C3AwFu74dXMhgX3qIw,Santa Barbara,93103,3.5,18,Fast Food,105.0
966,FjVAwrTr0AMfs78pDLamtA,Goleta,93117,2.5,17,Deli,102.0
973,GEGTsaKaO1R9fFB4sGS5qw,Goleta,93117,4.5,10,Mexican,19.099999999999998
980,GUuLWkqfieTDwORs8z8mDg,Goleta,93118,3.5,15,American,49.249999999999986
987,Gg2ZHe57Ztuv8JaFj0mNhw,Isla Vista,93117,4.5,333,American,77.0
994,Gl3XO4ECKKli8-bKKdkkYA,Santa Barbara,93103,2.0,36,Fast Food,70.0
1001,GtrY5U_M1ac3bYCk0DUeIg,Santa Barbara,93101,4.5,244,Deli,29.199999999999996
1008,GuzbBFraIq-fbkjfvaTRvg,Santa Barbara,93109,4.5,1796,Healthy,60.0
1015,GwtVBqKzW9j0zNQ7nYnT5g,Santa Barbara,93101,3.5,115,Healthy,57.0
1022,Gz3vi3dVKMylBb8HV1tP8Q,Santa Barbara,93108,3.5,68,Healthy,84.0
1029,HE-9l_2RSingLV2RZItdsA,Goleta,93117,4.0,204,Bakery,65.5
1036,HNACff49-kXS7l0MyLOzHw,Santa Barbara,93111,2.5,48,Pizza,69.0
1043,HOXbILWYZJkNUYYzYK_tZA,Santa Barbara,93101,4.0,291,Italian,28.0
1050,Hl_vXTiYLozWo7T9Cq17vw,Santa Barbara,93101,5.0,47,Italian,18.799999999999997
1057,Hlx8S2GLF7hMuIKx4sU-gg,Santa Barbara,93103,4.0,117,Mexican,77.0
1064,I7tLQ1YEJjcN16josIx6Dw,Goleta,93117,3.5,63,Italian,40.0
1071,ICJE_-SCNJAHDtUpK1O0nw,Carpinteria,93013,4.0,9,Mexican,55.0
1078,IDtLPgUrqorrpqSLdfMhZQ,Santa Barbara,93101,4.0,389,Bakery,36.0
1085,IDyJPdJ-zTXJ_FSSOMOgbg,Carpinteria,93013,4.0,84,Mexican,93.0
1092,IQFb8aeU7QW-BxpFhGMnlg,Montecito,93108,4.0,33,Pizza,37.0
1099,IRyKDIF51M0GcqS8yfPcYA,Santa Barbara,93109,4.0,374,American,98.0
1106,IXQH9-nnTWZFgBF0V3MH-A,Santa Barbara,93101,4.0,16,Pizza,63.8
1113,IZJacI6XEUxy3_wbW76Qfw,Goleta,93117,2.5,188,American,70.0
1120,IZZ7J14VnJGyUqYH1tgT6w,Santa Barbara,93101,4.5,159,Healthy,47.0
1127,Ifw5wqcChnL4zBigtR7NKA,Goleta,93117,3.5,80,Mexican,81.10000000000001
1134,JB5tlC_7u5IHT2Z_GHN-qw,Santa Barbara,93103,5.0,8,Healthy,21.0
1141,JUruKsTe0fdPbQHCT8XTug,Goleta,93117,3.0,31,Healthy,49.0
1148,JWFpjvCc_nkNDVtMPx1ZGg,Santa Barbara,93101,4.5,12,Pizza,57.0
1155,JZrspVMm79n_iHTYftkI0g,Santa Barbara,93103,4.0,56,Mexican,57.0
1162,JjmmSW_QQh2Db4fuIEMATA,Santa Barbara,93101,4.0,624,Pizza,62.89999999999999
1169,JpwG8sDNsHuD0f6NF6YuGw,Santa Barbara,93101,3.0,164,Pizza,64.0
1176,KSYONgGtrK0nKXfroB-bwg,Santa Barbara,93101,4.5,914,Mexican,26.0
1183,L4-_gPiqsuX50JN_-qUhNQ,Santa Barbara,93101,5.0,41,Bakery,36.00000000000001
1190,L8rhRyXtpq2nCE0il1KN_g,Santa Barbara,93190,3.0,28,American,48.5
1197,L9hRzl4W7TAdcW0Ld09O-A,Carpinteria,93013,5.0,7,American,48.0
1204,LEo6sBsQz3xrpKW-DQjTWQ,Santa Barbara,93106,2.5,18,Fast Food,77.0
1211,LMm555z8BReDxgkpF_TEug,Santa Barbara,93105,4.0,9,Deli,63.5
1218,LlGIlNJE2Nv_PXkH7l4Wmg,Goleta,93117,4.5,517,Mexican,50.0
1225,M3LZKA-tVFRJyPeKA3_2OA,Santa Barbara,93108,4.5,9,Bakery,34.0
1232,MX2YGruhd0sMNHZGK7p5-Q,Santa Barbara,93108,4.0,261,Italian,46.0
1239,M_0k-h3euD5T1Pv6vQwEMQ,Carpinteria,93013,3.0,17,American,29.4
1246,MbzgGsMQpGyVrUJXi_Jw0Q,Santa Barbara,93101,4.0,807,Healthy,30.0
1253,MwJsk91FJ73YzzmpVaJihQ,Santa Barbara,93101,4.0,448,Mexican,72.0
1260,NCHUoBAMTDqI754PICPN9A,Isla Vista,93117,3.0,99,Coffee,84.0
1267,NCMTfUJYTasYZ64UuGC-rg,Goleta,93117,4.5,105,Pizza,60.10000000000001
1274,NIqFlHurHm0cj6QXczYbEQ,Carpinteria,93013,3.0,125,Mexican,91.0
1281,NORF647ibBQ4U-VNMgzSLg,Santa Barbara,93101,4.5,77,Healthy,81.0
1288,NTLvzcGNm4IUF_yXIwIhvA,Carpinteria,93013,4.5,131,Pizza,36.4
1295,Nbht3URjeV94507do0goEw,Santa Barbara,93101,4.5,111,Healthy,68.0
1302,Ng4PxR9WVdbnDGC50PbzwQ,Goleta,93117,3.0,89,Deli,57.0
1309,NnAfFmqKH3PBeigmuAeFNA,Goleta,93117,3.5,127,Mexican,70.0
1316,NuMR1xJu6Ewxaicc4yLOFw,Santa Barbara,93105,4.0,232,Fast Food,68.5
1323,O0kQGkmlllaN7oU6sQyzPA,Goleta,93117,4.5,21,Breakfast,35.0
1330,O8rIa0Wvapju2iC9T1Hp8Q,Carpinteria,93013,4.5,20,Healthy,45.5
1337,OyFxR5E2HBy-K2-0AxCtFg,Santa Barbara,93109,2.0,42,Pizza,61.0
1344,PNVbv2kyUIHeJTDPis2gRg,Goleta,93117,4.0,460,Mexican,70.0
1351,PUDTWmMzevJdvsueEmnYqw,Goleta,93117,4.5,35,Coffee,59.0
1358,Pf_7rI6TnV8M_btOBBLg5w,Goleta,93117,4.0,56,Mexican,73.80000000000001
1365,PnT9JSoMirpKzY6TnG1HhQ,Goleta,93117,4.0,94,Deli,23.499999999999996
1372,PsO9LleYQJlFc_r-DJxVzg,Santa Barbara,93103,3.5,30,Fast Food,56.0
1379,QFh-h_OZ5Io-mBk32HN28A,Santa Barbara,93101,4.0,638,American,69.7
1386,QaFbv7aLQBcfT4xMF1_WnQ,Goleta,93117,4.5,1246,American,55.8
1393,QfXEdQpBojorGinfCnrKTA,Santa Barbara,93103,2.5,17,Deli,82.0
1400,Qkg16mN-8QR66gjzg6gMyw,Santa Barbara,93103,4.0,445,Italian,92.0
1407,Qsoq2TGOe59LZy7z6KbQjA,Santa Barbara,93103,1.5,56,Pizza,70.10000000000001
1414,RIXWht1pZG8pe1SJk5hhXw,Goleta,93117,4.5,54,Japanese,46.0
1421,RKuAfE06rDcetvOTI5MbbA,Santa Barbara,93103,4.5,88,Mexican,91.0
1428,RRGLss4hhvZZuR0N6GQlSw,Santa Barbara,93101,4.0,208,American,54.199999999999996
1435,R_8S3Iuhpzoi3nM-xq3kcw,Santa Barbara,93105,3.5,101,Breakfast,56.0
1442,Rl42JbSMsmNW3LRjsTMYAg,Isla Vista,93117,4.0,1270,Mexican,84.0
1449,S3QHy1sshUeZwXOYviVsXQ,Montecito,93108,4.0,262,Italian,67.8
1456,S4ujTsHtCOsHKrKkcjY30Q,Montecito,93108,4.5,121,American,33.0
1463,S7Cl9gYqaC9jlw32yd4_Yg,Santa Barbara,93105,3.0,50,Coffee,88.19999999999999
1470,SHk_eYKzIOPvgwvTThtXiQ,Goleta,93118,3.5,6,Healthy,20.0
1477,SYHDOHRNAH-2xsw3XB5qbg,Santa Barbara,93103,4.5,1108,Coffee,36.0
1484,Sa1G0j7YGs0mSa-mU4tvgg,Carpinteria,93013,2.5,45,Fast Food,105.0
1491,SeneXbKmhHhPtzyTDPDnvA,Isla Vista,93117,4.0,135,Deli,93.10000000000001
1498,Sp4HOjXy-LYV_4yy10L3jg,Santa Barbara,93101,4.5,74,American,40.3
1505,Ss6f5v_t5Vddiaz4ZOxL0g,Santa Barbara,93101,4.0,1106,Bakery,54.0
1512,T2otvNcawDSkhykOG2tOLA,Santa Barbara,93110,2.5,113,Breakfast,80.0
1519,T9I4G6Or3sAbyYmB7c23hw,Santa Barbara,93101,4.5,96,Deli,48.0
1526,TCWnTa69sJ3vGQsdEe3Esw,Santa Barbara,93101,2.5,317,Pizza,60.89999999999999
1533,TUtf4FLtotdQDleYpRIfnw,Santa Barbara,93101,3.0,193,Pizza,66.0
1540,T_TX4Lx03Juo4pHF5cMYuA,Santa Barbara,93101,3.0,34,Pizza,77.0
1547,U1Gc3wKN5viu_e68KJVOdQ,Santa Barbara,93103,4.0,147,American,42.6
1554,U2hkeMI-q4cS35QolJYN0A,Santa Barbara,93101,4.0,980,Japanese,35.6
1561,U7XQ4-xZf-3a5diuDILpFA,Summerland,93108,3.5,15,Pizza,77.0
1568,UFpCraqzFBAhtZqmxmiWsA,Santa Barbara,93101,4.5,116,Coffee,54.15
1575,UQZe-qWOpGiyEPsTUko5Rg,Santa Barbara,93101,4.5,25,Healthy,30.0
1582,UjgqSqa4Biy34pHSEdwj_g,Santa Barbara,93101,4.0,253,Pizza,65.19999999999999
1589,UuRZpgZsHX7PyykHV3wbZg,Santa Barbara,93101,4.0,761,Bakery,56.0
1596,VAIOtbsxdNmuhUKkQZFRlA,Santa Barbara,93105,4.5,524,Bakery,57.199999999999996
1603,VC4jqq8Hu1_RjBFt8nHD2Q,Santa Barbara,93110,5.0,19,Bakery,8.0
1610,VOcGcN0bvGU_nzxbJgR5jQ,Santa Barbara,93108,4.5,311,Pizza,25.800000000000004
1617,VZhRxX3BzU09qK4UlXrN4g,Carpinteria,93013,4.5,145,American,42.0
1624,VciWUuWgNshjkRDPHiFCoQ,Santa Barbara,93105,3.5,8,Deli,96.0
1631,VeFfrEZ4iWaecrQg6Eq4cg,Goleta,93117,4.0,189,Mexican,73.80000000000001
1638,VgAKmXE8B7J0I_O_R13UKQ,Santa Barbara,93101,4.0,511,Coffee,70.69999999999999
1645,VqcHpG3ODZ4KHBhbxcL4-Q,Carpinteria,93013,4.0,174,Mexican,79.0
1652,Vt5gk5h5VlHXLu-cVKzOXw,Santa Barbara,93101,3.5,24,American,45.0
1659,W7gSJz80DywKnPRIGjA2Bw,Santa Barbara,93105,3.5,126,American,81.10000000000001
1666,W7zCBDLFv13fDzRXJefrrA,Santa Barbara,93105,3.5,34,Mexican,84.0
1673,WIH1ptTMD7aII_qfeVeaRg,Santa Barbara,93101,4.5,13,Mexican,98.0
1680,WUGRmrfSzQCyeG6mYAM-vw,Santa Barbara,93101,4.5,125,Mexican,54.0
1687,WVNkMz4sEl35swjVtKHOFw,Santa Barbara,93101,4.5,112,Bakery,46.0
1694,WfN-VixjWAbfe8efJEs3yQ,Montecito,93108,3.5,57,Bakery,53.0
1701,WrU1ZYN4jlYcL5mvJrQsCQ,Santa Barbara,93101,4.5,133,Mexican,70.0
1708,WtGHHomZhFffiL0UiKjGkw,Carpinteria,93013,4.5,13,Pizza,84.0
1715,WzgtV5eNV7rwtJYJUiPJ2w,Goleta,93117,4.0,5,American,4.0
1722,XHxAIQR-QAz6j1RMaz_J1A,Santa Barbara,93105,3.5,131,Pizza,59.0
1729,XXsofYxziipczzc3OFDD5Q,Santa Barbara,93117,3.0,8,Coffee,63.0
1736,XgehM3pBZWuXi45J2dqRJQ,Santa Barbara,93101,4.5,319,Healthy,34.0
1743,XwnkfMUiyH-OsJXbmbOK5g,Santa Barbara,93101,3.5,155,Japanese,70.0
1750,XyYsl2OyoMi6OMvzsdcVoQ,Santa Barbara,93101,4.0,380,Pizza,69.0
1757,Y-qMi8FQYC6-wq-4wBA54Q,Isla Vista,93117,4.0,7,American,21.0
1764,Y57sylYCgq2VQJuBCnjPfA,Santa Barbara,93101,4.0,429,Japanese,54.0
1771,YGgGefpPTFhgthvQvMAGoQ,Santa Barbara,93103,4.0,286,Mexican,60.89999999999999
1778,YXKot5TH9MhC4khAn0JC3w,Goleta,93117,4.0,126,Mexican,81.0
1785,YXaCcpETNtxrNNK6TbUTlw,Santa Barbara,93101,4.0,324,Japanese,65.10000000000001
1792,YgbIbmfDlB-bZSsjuIfKwA,Santa Barbara,93103,3.5,219,Bakery,54.0
1799,YrNtBUOUOYwmRZ_UVwH8iQ,Santa Barbara,93190,3.5,433,Bakery,49.0
1806,YxWiv24PHCseiVvGlqKFrQ,Isla Vista,93117,4.0,485,Pizza,82.0
1813,Z0mBsgDzDnFAEC5o4X6G9g,Santa Barbara,93110,3.5,196,Coffee,77.0
1820,ZRy4atrG3YHdb__qtE0FsA,Santa Barbara,93105,3.5,71,Mexican,98.0
1827,ZYqNIWch6Ik9wLZCa1hxkw,Santa Barbara,93103,4.5,171,Mexican,70.19999999999999
1834,ZrxlfdFU_qpnIHI2DmoRxA,Santa Barbara,93109,4.0,176,Pizza,58.3
1841,_T8tOBDr3NKNxd0yl5GwjA,Goleta,93117,3.0,113,Coffee,110.0
1848,_nSL2u-ZzX6kkAF2D2EZgQ,Goleta,93117,3.5,77,American,24.0
1855,_v3DcLatG70adfYzWTd-CQ,Carpinteria,93013,4.5,97,Healthy,55.800000000000004
1862,_vLfidpLDYHfZ_KnFZ75Lg,Isla Vista,93117,3.5,209,Mexican,49.0
1869,a9K3jxNUUe6jr1uh8FsakQ,Santa Barbara,93105,3.0,65,Breakfast,48.0
1876,aD4ysR05o5-onOjYjJ8QiQ,Goleta,93117,3.0,27,Deli,70.9
1883,aFhPwy7OhyKah4cJY2QdEQ,Santa Barbara,93108,4.5,339,American,35.0
1890,aOLFlIQibMg_lT2X4qKM2g,Goleta,93117,4.5,96,Coffee,68.0
1897,aY_n9RSaD2Yw09jSFFePew,Carpinteria,93013,4.0,124,Pizza,82.0
1904,acqDz7WDsCS3WiLxHVceOg,Santa Barbara,93103,3.5,11,Breakfast,93.0
1911,b1shfPbHpkeWtbGbz5iAtg,Santa Barbara,93105,3.0,130,Mexican,91.0
1918,b2Za53CjptGyf9K0fFnrAg,Santa Barbara,93105,4.0,233,Italian,25.899999999999995
1925,b5hxsRw76UUXcotxlCipuQ,Montecito,93108,3.5,353,Mexican,72.0
1932,bBA62rVklEG2WUnvi8RtrQ,Santa  Barbara,93105,4.0,145,Mexican,81.10000000000001
